producer_id,field_id,year,Core #,SHAC #,Depth (cm),lon,lat,soc,bd,soc_tha,tot_P,pH,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6190,KS20-0095,30 - 50,,,0.82999999999999996,1.4710024678626812,37.214008832977257,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6190,KS20-0096,50 - 100,,,0.39000000000000001,1.5844534127898824,18.834714608515892,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6191,KS20-0097,0 - 15,,,1.23,1.3947961199755727,52.291464456332221,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6191,KS20-0098,15 - 30,,,0.87,1.6459888726036647,43.647674528154937,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6191,KS20-0099,30 - 50,,,0.94999999999999996,1.547806332032432,44.818280150331105,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6191,KS20-0100,50 - 100,,,0.35999999999999999,1.6480815367237849,18.084069086162749,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6192,KS20-0101,0 - 15,,,1.05,1.3675487294222923,43.767029536431046,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6192,KS20-0102,15 - 30,,,0.93000000000000005,1.448809941999142,41.068546139884482,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6192,KS20-0103,30 - 50,,,0.87,1.4985356272467856,39.737568349079353,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6192,KS20-0104,50 - 100,,,0.42999999999999999,1.5705353814220746,20.584064923070279,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6193,KS20-0105,0 - 15,,,1.04,1.6589220884536062,52.586503066308573,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6193,KS20-0106,15 - 30,,,0.95999999999999996,1.5305070874333668,44.783861783970259,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6193,KS20-0107,30 - 50,,,0.85999999999999999,1.5563045522074743,40.795099966104083,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6193,KS20-0108,50 - 100,,,0.34999999999999998,1.6168877996890569,17.248959047082856,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6194,KS20-0109,0 - 15,,,0.79000000000000004,1.7011952216481583,40.963419981110341,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6194,KS20-0110,15 - 30,,,0.53000000000000003,1.6636219454521888,26.874814355612838,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6194,KS20-0111,30 - 50,,,0.63,1.5834284448268121,30.405626368942379,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6194,KS20-0112,50 - 100,,,0.31,1.6465619682847668,15.558034725929105,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6195,KS20-0113,0 - 15,,,0.67000000000000004,1.5576178804931959,31.809049308279857,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6195,KS20-0114,15 - 30,,,0.48999999999999999,1.7541897090896705,26.199174143196046,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6195,KS20-0115,30 - 50,,,0.70999999999999996,1.6303052163512868,35.281109126014925,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6195,KS20-0116,50 - 100,,,0.41999999999999998,1.6762493441269395,21.458673603775427,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6196,KS20-0117,0 - 15,,,0.51000000000000001,1.6501564058962908,25.651351298376664,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6196,KS20-0118,15 - 30,,,0.56999999999999995,1.6761635061014351,29.120994289603889,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6196,KS20-0119,30 - 50,,,0.62,1.6397551702240887,30.987437304826738,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6196,KS20-0120,50 - 100,,,0.28999999999999998,1.5996962975323827,14.140035513148236,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6197,KS20-0121,0 - 15,,,0.81999999999999995,1.5416373052741046,38.531066153098863,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6197,KS20-0122,15 - 30,,,0.80000000000000004,1.5811457524378365,38.554658027444212,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6197,KS20-0123,30 - 50,,,0.65000000000000002,1.5535523257823129,30.778978678399188,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6197,KS20-0124,50 - 100,,,0.27000000000000002,1.6731132890502809,13.769053123568193,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6198,KS20-0125,0-25,,,0.81999999999999995,1.5251829005322759,38.119811342743489,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6198,KS20-0126,25-50,,,0.22,1.6188711115457655,10.855502125581285,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6198,KS20-0127,50-98,,,0.60999999999999999,1.6985385796018049,31.580588102820442,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6199,KS20-0128,0 - 15,,,1.0600000000000001,1.5518305669687611,50.137783422080311,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6199,KS20-0129,15 - 30,,,0.91000000000000003,1.5366389020031537,42.621445897081074,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6199,KS20-0130,30 - 50,,,0.57999999999999996,1.6288375832266051,28.795242331313215,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6199,KS20-0131,50 - 100,,,0.23000000000000001,1.6859663781053356,11.819298697069645,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6200,KS20-0132,0 - 15,,,1.1100000000000001,1.4005928423497103,47.385977516649277,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6200,KS20-0133,15 - 30,,,0.69999999999999996,1.619270290419967,34.548750916400415,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6200,KS20-0134,30 - 50,,,0.45000000000000001,1.6084919876114134,22.062076102078152,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6200,KS20-0135,50 - 100,,,0.25,1.6826806687815365,12.82202669611531,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6201,KS20-0136,0 - 15,,,1.4299999999999999,1.2892917063889788,56.195584031352588,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6201,KS20-0137,15 - 30,,,1.23,1.4521420465135553,54.441386180611801,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6201,KS20-0138,30 - 50,,,0.5,1.3721067098263158,20.910906257753055,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6201,KS20-0139,50 - 98,,,0.40999999999999998,1.4413156461222958,18.011833366461104,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6202,KS20-0140,0 - 15,,,1.22,1.3213405388109665,49.134840740009075,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6202,KS20-0141,15 - 30,,,0.81000000000000005,1.5465426467258476,38.182282096485118,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6202,KS20-0142,30 - 50,,,0.33000000000000002,1.6340622306955346,16.436051541227965,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6202,KS20-0143,50 - 96,,,0.28000000000000003,1.6509099835720482,14.08952616379729,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6203,KS20-0144,0 - 15,,,1.2,1.5028379069355478,54.967799284074594,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6203,KS20-0145,15 - 30,,,0.69999999999999996,1.5682407265745297,33.459984142194159,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6203,KS20-0146,30 - 50,,,0.40999999999999998,1.631405025399566,20.387342321413293,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6203,KS20-0147,50 - 98,,,0.31,1.6032679480020515,15.148958187081785,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6204,KS20-0148,0 - 15,,,1.1100000000000001,1.6125898503143643,54.558429887715832,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6204,KS20-0149,15 - 30,,,1.4399999999999999,1.4269001504150347,62.628359881896372,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6204,KS20-0150,30 - 50,,,0.71999999999999997,1.50842896771784,33.103378753948633,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6204,KS20-0151,50-100,,,0.25,1.5152006885238629,11.545829246551836,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6205,KS20-0152,0 - 15,,,1.3899999999999999,1.4305402572248032,60.607985185894684,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6205,KS20-0153,15 - 30,,,1.0600000000000001,1.3745786827946269,44.410987746675048,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6205,KS20-0154,30 - 50,,,0.81000000000000005,1.3677389354841734,33.767833030381667,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6205,KS20-0155,50 - 100,,,0.22,1.6294978491618297,10.926760777339567,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6206,KS20-0156,0 - 15,,,1.1899999999999999,1.6445390080438922,59.649403268561613,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6206,KS20-0157,15 - 30,,,0.93000000000000005,1.573197589171708,44.594488141696907,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6206,KS20-0158,30 - 50,,,0.58999999999999997,1.5750973382616509,28.32529045342692,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6206,KS20-0159,50 - 100,,,0.26000000000000001,1.5157024240199686,12.011638569873449,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6207,KS20-0160,0 - 15,,,0.91000000000000003,1.6470207251377182,45.683084448999871,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6207,KS20-0161,15 - 30,,,0.56000000000000005,1.5395784763383316,26.278757096923719,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6207,KS20-0162,30 - 50,,,0.5,1.6072646856358617,24.494713809090531,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6207,KS20-0163,50 - 100,,,0.28999999999999998,1.6322690733247713,14.427952792932318,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6208,KS20-0164,0 - 15,,,0.83999999999999997,1.3319905810509718,34.103221244764235,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6208,KS20-0165,15 - 30,,,0.69999999999999996,1.6311498638790498,34.802213495723407,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6208,KS20-0166,30 - 50,,,0.5,1.5436079254078623,23.524584783215825,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6208,KS20-0167,50 - 100,,,0.23000000000000001,1.6834011840691947,11.801315660798684,,,,,,,,,,,,,,,,,
