field_id,year,core_id,lat,lon,shac_id,depth,soc,bd
GMP-Field-51,2020,6209,37.91412546,-98.11347803,KS20-0168,0 - 15,0.60999999999999999,1.582699032407574
GMP-Field-51,2020,6209,37.91412546,-98.11347803,KS20-0169,15 - 30,0.57999999999999996,1.6943037699706445
GMP-Field-51,2020,6209,37.91412546,-98.11347803,KS20-0170,30 - 50,0.58999999999999997,1.7990724096343789
GMP-Field-51,2020,6209,37.91412546,-98.11347803,KS20-0171,50 - 100,0.31,1.6722891465899545
GMP-Field-51,2020,6210,37.91357105,-98.11360155,KS20-0172,0 - 15,0.66000000000000003,1.5679260075850776
GMP-Field-51,2020,6210,37.91357105,-98.11360155,KS20-0173,15 - 30,0.67000000000000004,1.6851818353183221
GMP-Field-51,2020,6210,37.91357105,-98.11360155,KS20-0174,30 - 50,0.72999999999999998,1.5567746951125887
GMP-Field-51,2020,6210,37.91357105,-98.11360155,KS20-0175,50 - 98,0.37,1.6606535425271027
GMP-Field-51,2020,6211,37.91346709,-98.1139915,KS20-0176,0 - 15,0.95999999999999996,1.5232412532988808
GMP-Field-51,2020,6211,37.91346709,-98.1139915,KS20-0177,15 - 30,0.85999999999999999,1.5660562781574678
GMP-Field-51,2020,6211,37.91346709,-98.1139915,KS20-0178,30 - 50,0.69999999999999996,1.5343281651344416
GMP-Field-51,2020,6211,37.91346709,-98.1139915,KS20-0179,50 - 100,0.39000000000000001,1.9051228521168655
GMP-Field-51,2020,6212,37.91328632,-98.11314235,KS20-0180,0 - 15,0.95999999999999996,1.5885214500593536
GMP-Field-51,2020,6212,37.91328632,-98.11314235,KS20-0181,15 - 30,0.68000000000000005,1.5696600781474181
GMP-Field-51,2020,6212,37.91328632,-98.11314235,KS20-0182,30 - 50,0.48999999999999999,1.5927554165030589
GMP-Field-51,2020,6212,37.91328632,-98.11314235,KS20-0183,50 - 100,0.28999999999999998,1.7135051211936823
GMP-Field-51,2020,6213,37.91284667,-98.11350363,KS20-0184,0 - 15,0.93999999999999995,1.5750000660036185
GMP-Field-51,2020,6213,37.91284667,-98.11350363,KS20-0185,15 - 30,0.60999999999999999,1.6418582438133142
GMP-Field-51,2020,6213,37.91284667,-98.11350363,KS20-0186,30 - 50,0.56000000000000005,1.6150818391995563
GMP-Field-51,2020,6213,37.91284667,-98.11350363,KS20-0187,50 - 100,0.28999999999999998,1.7126306650425511
GMP-Field-51,2020,6214,37.91265808,-98.11373912,KS20-0188,0 - 15,1.05,1.4391065550940578
GMP-Field-51,2020,6214,37.91265808,-98.11373912,KS20-0189,15 - 30,0.70999999999999996,1.6786084885306694
GMP-Field-51,2020,6214,37.91265808,-98.11373912,KS20-0190,30 - 50,0.58999999999999997,1.4874701227650489
GMP-Field-51,2020,6214,37.91265808,-98.11373912,KS20-0191,50 - 100,0.22,1.6283895772642003
GMP-Field-51,2020,6215,37.91263426,-98.11077249,KS20-0192,0 - 15,0.39000000000000001,1.644934590617382
GMP-Field-51,2020,6215,37.91263426,-98.11077249,KS20-0193,15 - 30,0.34000000000000002,1.6122726540700218
GMP-Field-51,2020,6215,37.91263426,-98.11077249,KS20-0194,30 - 50,0.46999999999999997,1.6832103326924504
GMP-Field-51,2020,6215,37.91263426,-98.11077249,KS20-0195,50 - 99,0.28000000000000003,1.6962738337377343
GMP-Field-51,2020,6216,37.91255055,-98.11056076,KS20-0196,0 - 15,0.85999999999999999,1.6540634902744327
GMP-Field-51,2020,6216,37.91255055,-98.11056076,KS20-0197,15 - 30,0.96999999999999997,1.4786149114529763
GMP-Field-51,2020,6216,37.91255055,-98.11056076,KS20-0198,30 - 50,0.68000000000000005,1.5828041801333324
GMP-Field-51,2020,6216,37.91255055,-98.11056076,KS20-0199,50 - 100,0.26000000000000001,1.5336525229230054
GMP-Field-51,2020,6217,37.91253625,-98.10916988,KS20-0200,0 - 15,0.40000000000000002,1.6333858340971323
GMP-Field-51,2020,6217,37.91253625,-98.10916988,KS20-0201,15 - 30,0.27000000000000002,1.7728133902646614
GMP-Field-51,2020,6217,37.91253625,-98.10916988,KS20-0202,30 - 50,0.20000000000000001,1.7745671832187437
GMP-Field-51,2020,6217,37.91253625,-98.10916988,KS20-0203,50 - 96,0.14999999999999999,1.7664566787414056
GMP-Field-51,2020,6218,37.91284545,-98.10893183,KS20-0204,0 - 15,0.42999999999999999,1.5860988641691136
